TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",600678,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30052,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30052,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",551094,0,2,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",768490,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505365,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",615104,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1207083,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",776823,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",451667,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",548698,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",599219,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",515208,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",635573,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",574166,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",646198,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2514010,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",450052,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",377968,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",592969,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",627291,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",544271,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",685417,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1045261,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1127136,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",385052,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484428,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",753334,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",542239,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",497344,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",760157,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",633437,0,3,1,True
