RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",4348020,0,0,5,True
1,"TfprPrefetchingStrategy",1803229,0,0,5,True
1,"TfprPrefetchingStrategy",1914323,0,1,2,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",1393750,0,1,2,True
1,"TfprPrefetchingStrategy",1041,0,0,0,True
1,"TfprPrefetchingStrategy",1198333,0,1,2,True
1,"TfprPrefetchingStrategy",2083,0,0,0,True
1,"TfprPrefetchingStrategy",1458,0,0,0,True
1,"TfprPrefetchingStrategy",2011303,0,0,5,True
1,"TfprPrefetchingStrategy",1004844,0,1,2,True
1,"TfprPrefetchingStrategy",1093,0,0,0,True
1,"TfprPrefetchingStrategy",1302,0,0,0,True
1,"TfprPrefetchingStrategy",1823,0,0,0,True
1,"TfprPrefetchingStrategy",1771,0,0,0,True
1,"TfprPrefetchingStrategy",1458,0,0,0,True
1,"TfprPrefetchingStrategy",1979,0,0,0,True
1,"TfprPrefetchingStrategy",1667,0,0,0,True
1,"TfprPrefetchingStrategy",5990,0,0,0,True
1,"TfprPrefetchingStrategy",5937,0,0,0,True
2,"TfprPrefetchingStrategy",2615417,0,0,5,True
2,"TfprPrefetchingStrategy",1537917,0,0,5,True
2,"TfprPrefetchingStrategy",994740,0,1,2,True
2,"TfprPrefetchingStrategy",990,0,0,0,True
2,"TfprPrefetchingStrategy",812188,0,1,2,True
2,"TfprPrefetchingStrategy",781,0,0,0,True
2,"TfprPrefetchingStrategy",1136094,0,1,2,True
2,"TfprPrefetchingStrategy",1719,0,0,0,True
2,"TfprPrefetchingStrategy",1042,0,0,0,True
2,"TfprPrefetchingStrategy",1698542,0,0,5,True
2,"TfprPrefetchingStrategy",995885,0,1,2,True
2,"TfprPrefetchingStrategy",989,0,0,0,True
2,"TfprPrefetchingStrategy",1823,0,0,0,True
2,"TfprPrefetchingStrategy",1250,0,0,0,True
2,"TfprPrefetchingStrategy",1510,0,0,0,True
2,"TfprPrefetchingStrategy",1667,0,0,0,True
2,"TfprPrefetchingStrategy",1666,0,0,0,True
2,"TfprPrefetchingStrategy",2240,0,0,0,True
2,"TfprPrefetchingStrategy",3229,0,0,0,True
2,"TfprPrefetchingStrategy",2344,0,0,0,True
3,"TfprPrefetchingStrategy",2464010,0,0,5,True
3,"TfprPrefetchingStrategy",1815990,0,0,5,True
3,"TfprPrefetchingStrategy",1080313,0,1,2,True
3,"TfprPrefetchingStrategy",885,0,0,0,True
3,"TfprPrefetchingStrategy",1271719,0,1,2,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",2803438,0,1,2,True
3,"TfprPrefetchingStrategy",1406,0,0,0,True
3,"TfprPrefetchingStrategy",1562,0,0,0,True
3,"TfprPrefetchingStrategy",1805417,0,0,5,True
3,"TfprPrefetchingStrategy",1083541,0,1,2,True
3,"TfprPrefetchingStrategy",1354,0,0,0,True
3,"TfprPrefetchingStrategy",1667,0,0,0,True
3,"TfprPrefetchingStrategy",1615,0,0,0,True
3,"TfprPrefetchingStrategy",1667,0,0,0,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
3,"TfprPrefetchingStrategy",1718,0,0,0,True
3,"TfprPrefetchingStrategy",4062,0,0,0,True
3,"TfprPrefetchingStrategy",1458,0,0,0,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
