RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.011267605633802816,0.011267605633802818,2,0,351
2,0.011396011396011397,0.011396011396011397,2,0,347
3,0.012422360248447204,0.012422360248447204,2,0,318
4,0.012307692307692308,0.012307692307692308,2,0,321
5,0.012012012012012012,0.012012012012012012,2,0,329
6,0.012903225806451613,0.012903225806451613,2,0,306
7,0.013071895424836602,0.013071895424836602,2,0,302
8,0.012987012987012988,0.012987012987012988,2,0,304
9,0.012121212121212121,0.012121212121212121,2,0,326
10,0.012383900928792569,0.01238390092879257,2,0,319
