RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",2031,0,0,0,True
1,"TfprPrefetchingStrategy",2395,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",5622500,0,1,1,True
1,"TfprPrefetchingStrategy",2395,0,0,0,True
1,"TfprPrefetchingStrategy",1117916,0,1,1,True
1,"TfprPrefetchingStrategy",682708,0,1,1,True
1,"TfprPrefetchingStrategy",716145,0,1,1,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",621979,0,1,1,True
1,"TfprPrefetchingStrategy",2188,0,0,0,True
1,"TfprPrefetchingStrategy",5312,0,0,0,True
1,"TfprPrefetchingStrategy",729,0,0,0,True
1,"TfprPrefetchingStrategy",631406,0,1,1,True
1,"TfprPrefetchingStrategy",1302,0,0,0,True
1,"TfprPrefetchingStrategy",1128281,0,1,2,True
1,"TfprPrefetchingStrategy",702188,0,1,1,True
1,"TfprPrefetchingStrategy",812500,0,1,1,True
1,"TfprPrefetchingStrategy",730,0,0,0,True
2,"TfprPrefetchingStrategy",1640677,0,2,2,True
2,"TfprPrefetchingStrategy",964948,0,1,1,True
2,"TfprPrefetchingStrategy",1450053,0,1,1,True
2,"TfprPrefetchingStrategy",5208,0,0,0,True
2,"TfprPrefetchingStrategy",841615,0,1,1,True
2,"TfprPrefetchingStrategy",1250,0,0,0,True
2,"TfprPrefetchingStrategy",1100781,0,1,2,True
2,"TfprPrefetchingStrategy",732969,0,1,1,True
2,"TfprPrefetchingStrategy",1098646,0,1,1,True
2,"TfprPrefetchingStrategy",1667,0,0,0,True
2,"TfprPrefetchingStrategy",1115990,0,1,2,True
2,"TfprPrefetchingStrategy",920313,0,1,1,True
2,"TfprPrefetchingStrategy",991355,0,1,1,True
2,"TfprPrefetchingStrategy",1146,0,0,0,True
2,"TfprPrefetchingStrategy",1010625,0,1,1,True
2,"TfprPrefetchingStrategy",989,0,0,0,True
2,"TfprPrefetchingStrategy",1132083,0,2,2,True
2,"TfprPrefetchingStrategy",1284740,0,1,1,True
2,"TfprPrefetchingStrategy",1030156,0,1,1,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
3,"TfprPrefetchingStrategy",1671614,0,2,2,True
3,"TfprPrefetchingStrategy",793646,0,1,1,True
3,"TfprPrefetchingStrategy",984375,0,1,1,True
3,"TfprPrefetchingStrategy",833,0,0,0,True
3,"TfprPrefetchingStrategy",921094,0,1,1,True
3,"TfprPrefetchingStrategy",2500,0,0,0,True
3,"TfprPrefetchingStrategy",1245521,0,2,2,True
3,"TfprPrefetchingStrategy",1055260,0,1,1,True
3,"TfprPrefetchingStrategy",1466094,0,1,1,True
3,"TfprPrefetchingStrategy",2083,0,0,0,True
3,"TfprPrefetchingStrategy",9516666,0,1,2,True
3,"TfprPrefetchingStrategy",792188,0,1,1,True
3,"TfprPrefetchingStrategy",859947,0,1,1,True
3,"TfprPrefetchingStrategy",1094,0,0,0,True
3,"TfprPrefetchingStrategy",914687,0,1,1,True
3,"TfprPrefetchingStrategy",2187,0,0,0,True
3,"TfprPrefetchingStrategy",4226406,0,2,2,True
3,"TfprPrefetchingStrategy",1115261,0,1,1,True
3,"TfprPrefetchingStrategy",708907,0,1,1,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
