RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",833,0,0,0,True
1,"TfprPrefetchingStrategy",1667,0,0,0,True
1,"TfprPrefetchingStrategy",1649740,0,1,1,True
1,"TfprPrefetchingStrategy",782,0,0,0,True
1,"TfprPrefetchingStrategy",1178386,0,0,2,True
1,"TfprPrefetchingStrategy",781,0,0,0,True
1,"TfprPrefetchingStrategy",871250,1,1,2,True
1,"TfprPrefetchingStrategy",1093,0,0,0,True
1,"TfprPrefetchingStrategy",940261,1,1,2,True
1,"TfprPrefetchingStrategy",781,0,0,0,True
1,"TfprPrefetchingStrategy",1074323,1,1,2,True
1,"TfprPrefetchingStrategy",781,0,0,0,True
1,"TfprPrefetchingStrategy",968907,1,1,2,True
1,"TfprPrefetchingStrategy",1197,0,0,0,True
1,"TfprPrefetchingStrategy",1855312,1,1,3,True
1,"TfprPrefetchingStrategy",1042,0,0,0,True
1,"TfprPrefetchingStrategy",4185677,1,1,4,True
1,"TfprPrefetchingStrategy",937,0,0,0,True
1,"TfprPrefetchingStrategy",2072396,1,1,4,True
1,"TfprPrefetchingStrategy",1146,0,0,0,True
1,"TfprPrefetchingStrategy",4025521,1,1,4,True
1,"TfprPrefetchingStrategy",782,0,0,0,True
2,"TfprPrefetchingStrategy",2969896,0,1,4,True
2,"TfprPrefetchingStrategy",1615,0,0,0,True
2,"TfprPrefetchingStrategy",1797031,1,1,4,True
2,"TfprPrefetchingStrategy",1146,0,0,0,True
2,"TfprPrefetchingStrategy",2474740,1,1,4,True
2,"TfprPrefetchingStrategy",937,0,0,0,True
2,"TfprPrefetchingStrategy",1272448,1,1,4,True
2,"TfprPrefetchingStrategy",1093,0,0,0,True
2,"TfprPrefetchingStrategy",1304114,1,1,4,True
2,"TfprPrefetchingStrategy",1042,0,0,0,True
2,"TfprPrefetchingStrategy",1590365,1,1,4,True
2,"TfprPrefetchingStrategy",1875,0,0,0,True
2,"TfprPrefetchingStrategy",1806042,1,1,4,True
2,"TfprPrefetchingStrategy",1250,0,0,0,True
2,"TfprPrefetchingStrategy",4286875,1,1,4,True
2,"TfprPrefetchingStrategy",989,0,0,0,True
2,"TfprPrefetchingStrategy",1885469,1,1,4,True
2,"TfprPrefetchingStrategy",1094,0,0,0,True
2,"TfprPrefetchingStrategy",1869948,1,1,4,True
2,"TfprPrefetchingStrategy",1302,0,0,0,True
2,"TfprPrefetchingStrategy",1675104,1,1,4,True
2,"TfprPrefetchingStrategy",1771,0,0,0,True
3,"TfprPrefetchingStrategy",2349687,0,1,4,True
3,"TfprPrefetchingStrategy",730,0,0,0,True
3,"TfprPrefetchingStrategy",2048855,1,1,4,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
3,"TfprPrefetchingStrategy",1662135,1,1,4,True
3,"TfprPrefetchingStrategy",834,0,0,0,True
3,"TfprPrefetchingStrategy",1736146,1,1,4,True
3,"TfprPrefetchingStrategy",1042,0,0,0,True
3,"TfprPrefetchingStrategy",1560104,1,1,4,True
3,"TfprPrefetchingStrategy",1094,0,0,0,True
3,"TfprPrefetchingStrategy",1870521,1,1,4,True
3,"TfprPrefetchingStrategy",989,0,0,0,True
3,"TfprPrefetchingStrategy",1622760,1,1,4,True
3,"TfprPrefetchingStrategy",1615,0,0,0,True
3,"TfprPrefetchingStrategy",1609271,1,1,4,True
3,"TfprPrefetchingStrategy",1198,0,0,0,True
3,"TfprPrefetchingStrategy",1663854,1,1,4,True
3,"TfprPrefetchingStrategy",782,0,0,0,True
3,"TfprPrefetchingStrategy",1252240,1,1,4,True
3,"TfprPrefetchingStrategy",833,0,0,0,True
3,"TfprPrefetchingStrategy",1951302,1,1,4,True
3,"TfprPrefetchingStrategy",834,0,0,0,True
4,"TfprPrefetchingStrategy",2464583,0,1,4,True
4,"TfprPrefetchingStrategy",2031,0,0,0,True
4,"TfprPrefetchingStrategy",1974115,1,1,4,True
4,"TfprPrefetchingStrategy",1615,0,0,0,True
4,"TfprPrefetchingStrategy",1823698,1,1,4,True
4,"TfprPrefetchingStrategy",886,0,0,0,True
4,"TfprPrefetchingStrategy",1431198,1,1,4,True
4,"TfprPrefetchingStrategy",1094,0,0,0,True
4,"TfprPrefetchingStrategy",1379271,1,1,4,True
4,"TfprPrefetchingStrategy",2188,0,0,0,True
4,"TfprPrefetchingStrategy",1479062,1,1,4,True
4,"TfprPrefetchingStrategy",885,0,0,0,True
4,"TfprPrefetchingStrategy",1257396,1,1,4,True
4,"TfprPrefetchingStrategy",1719,0,0,0,True
4,"TfprPrefetchingStrategy",1886042,1,1,4,True
4,"TfprPrefetchingStrategy",937,0,0,0,True
4,"TfprPrefetchingStrategy",3656406,1,1,4,True
4,"TfprPrefetchingStrategy",1718,0,0,0,True
4,"TfprPrefetchingStrategy",3542864,1,1,4,True
4,"TfprPrefetchingStrategy",1718,0,0,0,True
4,"TfprPrefetchingStrategy",2242969,1,1,4,True
4,"TfprPrefetchingStrategy",1093,0,0,0,True
5,"TfprPrefetchingStrategy",4116979,0,1,4,True
5,"TfprPrefetchingStrategy",1823,0,0,0,True
5,"TfprPrefetchingStrategy",1612448,1,1,4,True
5,"TfprPrefetchingStrategy",3438,0,0,0,True
5,"TfprPrefetchingStrategy",2828385,1,1,4,True
5,"TfprPrefetchingStrategy",677,0,0,0,True
5,"TfprPrefetchingStrategy",935834,1,1,4,True
5,"TfprPrefetchingStrategy",729,0,0,0,True
5,"TfprPrefetchingStrategy",875156,1,1,4,True
5,"TfprPrefetchingStrategy",781,0,0,0,True
5,"TfprPrefetchingStrategy",1398073,1,1,4,True
5,"TfprPrefetchingStrategy",938,0,0,0,True
5,"TfprPrefetchingStrategy",913386,1,1,4,True
5,"TfprPrefetchingStrategy",1615,0,0,0,True
5,"TfprPrefetchingStrategy",933646,1,1,4,True
5,"TfprPrefetchingStrategy",678,0,0,0,True
5,"TfprPrefetchingStrategy",2782969,1,1,4,True
5,"TfprPrefetchingStrategy",1354,0,0,0,True
5,"TfprPrefetchingStrategy",892291,1,1,4,True
5,"TfprPrefetchingStrategy",937,0,0,0,True
5,"TfprPrefetchingStrategy",2903907,1,1,4,True
5,"TfprPrefetchingStrategy",1094,0,0,0,True
6,"TfprPrefetchingStrategy",2369219,0,1,4,True
6,"TfprPrefetchingStrategy",2604,0,0,0,True
6,"TfprPrefetchingStrategy",1650833,1,1,4,True
6,"TfprPrefetchingStrategy",886,0,0,0,True
6,"TfprPrefetchingStrategy",1615990,1,1,4,True
6,"TfprPrefetchingStrategy",1927,0,0,0,True
6,"TfprPrefetchingStrategy",1355520,1,1,4,True
6,"TfprPrefetchingStrategy",1823,0,0,0,True
6,"TfprPrefetchingStrategy",1319479,1,1,4,True
6,"TfprPrefetchingStrategy",2500,0,0,0,True
6,"TfprPrefetchingStrategy",1375833,1,1,4,True
6,"TfprPrefetchingStrategy",885,0,0,0,True
6,"TfprPrefetchingStrategy",2338489,1,1,4,True
6,"TfprPrefetchingStrategy",989,0,0,0,True
6,"TfprPrefetchingStrategy",3064896,1,1,4,True
6,"TfprPrefetchingStrategy",1510,0,0,0,True
6,"TfprPrefetchingStrategy",3798489,1,1,4,True
6,"TfprPrefetchingStrategy",1042,0,0,0,True
6,"TfprPrefetchingStrategy",1708333,1,1,4,True
6,"TfprPrefetchingStrategy",1302,0,0,0,True
6,"TfprPrefetchingStrategy",1670833,1,1,4,True
6,"TfprPrefetchingStrategy",1146,0,0,0,True
7,"TfprPrefetchingStrategy",2445416,0,1,4,True
7,"TfprPrefetchingStrategy",1719,0,0,0,True
7,"TfprPrefetchingStrategy",1544948,1,1,4,True
7,"TfprPrefetchingStrategy",1250,0,0,0,True
7,"TfprPrefetchingStrategy",1604219,1,1,4,True
7,"TfprPrefetchingStrategy",1875,0,0,0,True
7,"TfprPrefetchingStrategy",1397188,1,1,4,True
7,"TfprPrefetchingStrategy",1771,0,0,0,True
7,"TfprPrefetchingStrategy",1490417,1,1,4,True
7,"TfprPrefetchingStrategy",2136,0,0,0,True
7,"TfprPrefetchingStrategy",1767135,1,1,4,True
7,"TfprPrefetchingStrategy",1511,0,0,0,True
7,"TfprPrefetchingStrategy",1786979,1,1,4,True
7,"TfprPrefetchingStrategy",1615,0,0,0,True
7,"TfprPrefetchingStrategy",2545052,1,1,4,True
7,"TfprPrefetchingStrategy",1354,0,0,0,True
7,"TfprPrefetchingStrategy",1717865,1,1,4,True
7,"TfprPrefetchingStrategy",1250,0,0,0,True
7,"TfprPrefetchingStrategy",2366406,1,1,4,True
7,"TfprPrefetchingStrategy",2031,0,0,0,True
7,"TfprPrefetchingStrategy",1948958,1,1,4,True
7,"TfprPrefetchingStrategy",938,0,0,0,True
8,"TfprPrefetchingStrategy",4902188,0,1,4,True
8,"TfprPrefetchingStrategy",1771,0,0,0,True
8,"TfprPrefetchingStrategy",1836980,1,1,4,True
8,"TfprPrefetchingStrategy",1615,0,0,0,True
8,"TfprPrefetchingStrategy",1981927,1,1,4,True
8,"TfprPrefetchingStrategy",1458,0,0,0,True
8,"TfprPrefetchingStrategy",1415833,1,1,4,True
8,"TfprPrefetchingStrategy",1823,0,0,0,True
8,"TfprPrefetchingStrategy",1421719,1,1,4,True
8,"TfprPrefetchingStrategy",2292,0,0,0,True
8,"TfprPrefetchingStrategy",1785885,1,1,4,True
8,"TfprPrefetchingStrategy",2032,0,0,0,True
8,"TfprPrefetchingStrategy",4491146,1,1,4,True
8,"TfprPrefetchingStrategy",1667,0,0,0,True
8,"TfprPrefetchingStrategy",2463958,1,1,4,True
8,"TfprPrefetchingStrategy",1197,0,0,0,True
8,"TfprPrefetchingStrategy",2335625,1,1,4,True
