RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",2760,0,0,0,True
1,"TfprPrefetchingStrategy",1407,0,0,0,True
1,"TfprPrefetchingStrategy",2533020,0,1,1,True
1,"TfprPrefetchingStrategy",625,0,0,0,True
1,"TfprPrefetchingStrategy",1096980,0,0,2,True
1,"TfprPrefetchingStrategy",729,0,0,0,True
1,"TfprPrefetchingStrategy",921198,1,1,2,True
1,"TfprPrefetchingStrategy",781,0,0,0,True
1,"TfprPrefetchingStrategy",920573,1,1,2,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",872656,1,1,2,True
1,"TfprPrefetchingStrategy",1250,0,0,0,True
1,"TfprPrefetchingStrategy",823854,1,1,2,True
1,"TfprPrefetchingStrategy",1198,0,0,0,True
1,"TfprPrefetchingStrategy",1687865,1,1,3,True
1,"TfprPrefetchingStrategy",1667,0,0,0,True
1,"TfprPrefetchingStrategy",1704844,1,1,4,True
1,"TfprPrefetchingStrategy",1041,0,0,0,True
1,"TfprPrefetchingStrategy",2510572,1,1,4,True
1,"TfprPrefetchingStrategy",885,0,0,0,True
1,"TfprPrefetchingStrategy",1649948,1,1,4,True
1,"TfprPrefetchingStrategy",833,0,0,0,True
2,"TfprPrefetchingStrategy",3627760,0,1,4,True
2,"TfprPrefetchingStrategy",1718,0,0,0,True
2,"TfprPrefetchingStrategy",1558906,1,1,4,True
2,"TfprPrefetchingStrategy",1302,0,0,0,True
2,"TfprPrefetchingStrategy",1887552,1,1,4,True
2,"TfprPrefetchingStrategy",885,0,0,0,True
2,"TfprPrefetchingStrategy",1297084,1,1,4,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",1293854,1,1,4,True
2,"TfprPrefetchingStrategy",1041,0,0,0,True
2,"TfprPrefetchingStrategy",1491823,1,1,4,True
2,"TfprPrefetchingStrategy",1667,0,0,0,True
2,"TfprPrefetchingStrategy",3098646,1,1,4,True
2,"TfprPrefetchingStrategy",1562,0,0,0,True
2,"TfprPrefetchingStrategy",2512604,1,1,4,True
2,"TfprPrefetchingStrategy",834,0,0,0,True
2,"TfprPrefetchingStrategy",1839167,1,1,4,True
2,"TfprPrefetchingStrategy",1146,0,0,0,True
2,"TfprPrefetchingStrategy",3794896,1,1,4,True
2,"TfprPrefetchingStrategy",2709,0,0,0,True
2,"TfprPrefetchingStrategy",2287865,1,1,4,True
2,"TfprPrefetchingStrategy",886,0,0,0,True
3,"TfprPrefetchingStrategy",2832187,0,1,4,True
3,"TfprPrefetchingStrategy",2448,0,0,0,True
3,"TfprPrefetchingStrategy",1715156,1,1,4,True
3,"TfprPrefetchingStrategy",938,0,0,0,True
3,"TfprPrefetchingStrategy",1827292,1,1,4,True
3,"TfprPrefetchingStrategy",1250,0,0,0,True
3,"TfprPrefetchingStrategy",1552344,1,1,4,True
3,"TfprPrefetchingStrategy",937,0,0,0,True
3,"TfprPrefetchingStrategy",1473438,1,1,4,True
3,"TfprPrefetchingStrategy",1979,0,0,0,True
3,"TfprPrefetchingStrategy",1440209,1,1,4,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
3,"TfprPrefetchingStrategy",2121198,1,1,4,True
3,"TfprPrefetchingStrategy",1771,0,0,0,True
3,"TfprPrefetchingStrategy",2354011,1,1,4,True
3,"TfprPrefetchingStrategy",729,0,0,0,True
3,"TfprPrefetchingStrategy",4207812,1,1,4,True
3,"TfprPrefetchingStrategy",885,0,0,0,True
3,"TfprPrefetchingStrategy",1318750,1,1,4,True
3,"TfprPrefetchingStrategy",833,0,0,0,True
3,"TfprPrefetchingStrategy",1637604,1,1,4,True
3,"TfprPrefetchingStrategy",938,0,0,0,True
4,"TfprPrefetchingStrategy",3697240,0,1,4,True
4,"TfprPrefetchingStrategy",989,0,0,0,True
4,"TfprPrefetchingStrategy",1540052,1,1,4,True
4,"TfprPrefetchingStrategy",1146,0,0,0,True
4,"TfprPrefetchingStrategy",1615520,1,1,4,True
4,"TfprPrefetchingStrategy",938,0,0,0,True
4,"TfprPrefetchingStrategy",1302343,1,1,4,True
4,"TfprPrefetchingStrategy",1146,0,0,0,True
4,"TfprPrefetchingStrategy",1073594,1,1,4,True
4,"TfprPrefetchingStrategy",1042,0,0,0,True
4,"TfprPrefetchingStrategy",1584428,1,1,4,True
4,"TfprPrefetchingStrategy",1511,0,0,0,True
4,"TfprPrefetchingStrategy",1991146,1,1,4,True
4,"TfprPrefetchingStrategy",990,0,0,0,True
4,"TfprPrefetchingStrategy",1948281,1,1,4,True
4,"TfprPrefetchingStrategy",1666,0,0,0,True
4,"TfprPrefetchingStrategy",2310781,1,1,4,True
4,"TfprPrefetchingStrategy",1094,0,0,0,True
4,"TfprPrefetchingStrategy",1285677,1,1,4,True
4,"TfprPrefetchingStrategy",1354,0,0,0,True
4,"TfprPrefetchingStrategy",2329739,1,1,4,True
4,"TfprPrefetchingStrategy",1042,0,0,0,True
5,"TfprPrefetchingStrategy",2355000,0,1,4,True
5,"TfprPrefetchingStrategy",1979,0,0,0,True
5,"TfprPrefetchingStrategy",1741563,1,1,4,True
5,"TfprPrefetchingStrategy",781,0,0,0,True
5,"TfprPrefetchingStrategy",1800208,1,1,4,True
5,"TfprPrefetchingStrategy",886,0,0,0,True
5,"TfprPrefetchingStrategy",1034948,1,1,4,True
5,"TfprPrefetchingStrategy",6146,0,0,0,True
5,"TfprPrefetchingStrategy",1267396,1,1,4,True
5,"TfprPrefetchingStrategy",833,0,0,0,True
5,"TfprPrefetchingStrategy",1411979,1,1,4,True
5,"TfprPrefetchingStrategy",886,0,0,0,True
5,"TfprPrefetchingStrategy",1610625,1,1,4,True
5,"TfprPrefetchingStrategy",3334,0,0,0,True
5,"TfprPrefetchingStrategy",2168333,1,1,4,True
5,"TfprPrefetchingStrategy",1146,0,0,0,True
5,"TfprPrefetchingStrategy",1868854,1,1,4,True
5,"TfprPrefetchingStrategy",886,0,0,0,True
5,"TfprPrefetchingStrategy",3081093,1,1,4,True
5,"TfprPrefetchingStrategy",2187,0,0,0,True
5,"TfprPrefetchingStrategy",2232240,1,1,4,True
5,"TfprPrefetchingStrategy",937,0,0,0,True
6,"TfprPrefetchingStrategy",2762032,0,1,4,True
6,"TfprPrefetchingStrategy",1615,0,0,0,True
6,"TfprPrefetchingStrategy",1743333,1,1,4,True
6,"TfprPrefetchingStrategy",1511,0,0,0,True
6,"TfprPrefetchingStrategy",2718282,1,1,4,True
6,"TfprPrefetchingStrategy",730,0,0,0,True
6,"TfprPrefetchingStrategy",4028698,1,1,4,True
6,"TfprPrefetchingStrategy",1927,0,0,0,True
